Datum;Uhrzeit;Deutschland/Luxemburg[Euro/MWh];Dänemark 1[Euro/MWh];Dänemark 2[Euro/MWh];Frankreich[Euro/MWh];Italien (Nord)[Euro/MWh];Niederlande[Euro/MWh];Polen[Euro/MWh];Schweden 4[Euro/MWh];Schweiz[Euro/MWh];Slowenien[Euro/MWh];Tschechien[Euro/MWh];Ungarn[Euro/MWh];Österreich[Euro/MWh];Deutschland/Österreich/Luxemburg[Euro/MWh]
25.06.2019;13:00;33,8;33,8;33,8;34,06;-;34,92;-;33,8;34,94;44;58;58;33,93;-
25.06.2019;14:00;33,9;33,9;33,9;34,16;-;35,02;-;33,9;34,7;47,83;51,99;57,07;34,03;-
25.06.2019;15:00;34,91;33,79;34,91;34,91;-;34,91;-;34,91;35,44;48,98;37,87;59;34,91;-
25.06.2019;16:00;36,93;33,46;36,93;36,93;-;36,93;-;36,05;36,59;52,2;39,02;61,97;36,93;-
25.06.2019;17:00;49,22;36,78;49,22;37,01;-;55,88;-;48,04;39;52,2;43,96;63,97;49,22;-
25.06.2019;18:00;61,53;48,28;61,53;40,92;-;71,5;-;60,05;38,96;56,06;55,2;65,9;56,06;-
25.06.2019;19:00;74,8;56,33;74,8;44,91;-;83,62;-;72,12;38,94;68,65;69,5;71,78;68,65;-
25.06.2019;20:00;73,09;68,87;68,87;38,2;-;80;-;60,44;37,41;67,09;68;70,28;67,09;-
25.06.2019;21:00;61,92;60,43;60,43;37,5;-;66,74;-;60,43;37,55;57,89;55,6;64,06;57,89;-
25.06.2019;22:00;46,27;31,64;31,64;45,83;-;46,5;-;31,64;38,92;49,59;43,66;52,81;46,16;-
25.06.2019;23:00;37,4;30,32;30,32;37,4;-;37,4;-;30,32;35,98;37,4;36,82;40,34;37,4;-
26.06.2019;00:00;37,34;31,49;31,49;31,18;-;39,95;-;25,06;32,61;35,94;36,12;36,12;35,94;-
26.06.2019;01:00;33,37;31,59;31,59;32,25;-;33,96;-;25,09;31,71;33,1;34;34;33,1;-
26.06.2019;02:00;33,31;31,43;31,43;24,43;-;34,8;-;24,98;30,25;33,31;32,1;32,1;33,31;-
26.06.2019;03:00;31,3;31,3;31,3;17,26;-;35,81;-;24,83;29,86;31,3;30,5;30,5;31,3;-
26.06.2019;04:00;31,08;30,52;30,52;14,29;-;34,36;-;23,86;29,7;31,08;30,8;30,8;31,08;-
