Datum;Uhrzeit;Gesamt[MWh]
11.06.2019;04:00;9.746,5
11.06.2019;04:15;9.780,75
11.06.2019;04:30;9.898,5
11.06.2019;04:45;10.045,5
11.06.2019;05:00;10.463,25
11.06.2019;05:15;10.724
11.06.2019;05:30;11.037,25
11.06.2019;05:45;11.546,75
11.06.2019;06:00;12.324,5
11.06.2019;06:15;12.844,25
11.06.2019;06:30;13.315
11.06.2019;06:45;13.613,75
11.06.2019;07:00;14.063
11.06.2019;07:15;14.408,75
11.06.2019;07:30;14.720
11.06.2019;07:45;14.899
11.06.2019;08:00;14.993,25
11.06.2019;08:15;15.100,75
11.06.2019;08:30;15.157,75
11.06.2019;08:45;15.356,25
11.06.2019;09:00;15.409,5
11.06.2019;09:15;15.495,25
11.06.2019;09:30;15.577,75
11.06.2019;09:45;15.684,5
11.06.2019;10:00;15.812,75
11.06.2019;10:15;15.895
11.06.2019;10:30;16.010
11.06.2019;10:45;16.157,25
11.06.2019;11:00;16.232,75
11.06.2019;11:15;16.441,25
11.06.2019;11:30;16.401
11.06.2019;11:45;16.524,25
11.06.2019;12:00;16.375,25
11.06.2019;12:15;16.402,5
11.06.2019;12:30;16.412
11.06.2019;12:45;16.459,75
11.06.2019;13:00;16.366,25
11.06.2019;13:15;16.318,5
11.06.2019;13:30;16.166,25
11.06.2019;13:45;15.993,75
11.06.2019;14:00;15.888,75
11.06.2019;14:15;15.909,5
11.06.2019;14:30;15.846,25
11.06.2019;14:45;15.812
11.06.2019;15:00;15.877,5
11.06.2019;15:15;15.737,5
11.06.2019;15:30;15.652,5
11.06.2019;15:45;15.593,25
11.06.2019;16:00;15.455,25
11.06.2019;16:15;15.333
11.06.2019;16:30;15.340,75
11.06.2019;16:45;15.317,5
11.06.2019;17:00;15.244,5
11.06.2019;17:15;15.205,25
